no,date,num
857,2022-06-06,301
858,2022-06-07,338
859,2022-06-08,992
860,2022-06-09,671
861,2022-06-10,568
862,2022-06-11,534
863,2022-06-12,396
864,2022-06-13,204
865,2022-06-14,619
866,2022-06-15,559
867,2022-06-16,466
868,2022-06-17,446
869,2022-06-18,438
870,2022-06-19,402
871,2022-06-20,139
872,2022-06-21,587
873,2022-06-22,468
874,2022-06-23,351
875,2022-06-24,384
876,2022-06-25,315
877,2022-06-26,283
878,2022-06-27,91
879,2022-06-28,460
880,2022-06-29,392
881,2022-06-30,402
882,2022-07-01,423
883,2022-07-02,369
884,2022-07-03,294
885,2022-07-04,253
886,2022-07-05,677
887,2022-07-06,645
888,2022-07-07,658
889,2022-07-08,627
890,2022-07-09,712
891,2022-07-10,488
892,2022-07-11,454
893,2022-07-12,1433
894,2022-07-13,1429
895,2022-07-14,1281
896,2022-07-15,1545
897,2022-07-16,1335
898,2022-07-17,1174
899,2022-07-18,1022
900,2022-07-19,2423
901,2022-07-20,2573
902,2022-07-21,2405
903,2022-07-22,2287
904,2022-07-23,2558
905,2022-07-24,1922
906,2022-07-25,1430
907,2022-07-26,3444
908,2022-07-27,3876
909,2022-07-28,3051
910,2022-07-29,3498
911,2022-07-30,2873
912,2022-07-31,2504
913,2022-08-01,1947
914,2022-08-02,4485
915,2022-08-03,4761
916,2022-08-04,4394
917,2022-08-05,4800
918,2022-08-06,4706
919,2022-08-07,4721
920,2022-08-08,2284
921,2022-08-09,7151
922,2022-08-10,6996
923,2022-08-11,6299
924,2022-08-12,5816
925,2022-08-13,6069
926,2022-08-14,5633
927,2022-08-15,3038
928,2022-08-16,4906
929,2022-08-17,8727
930,2022-08-18,9931
931,2022-08-19,8134
932,2022-08-20,7220
933,2022-08-21,6434
934,2022-08-22,3572
935,2022-08-23,8636
936,2022-08-24,7891
937,2022-08-25,6307
938,2022-08-26,5317
939,2022-08-27,5578
940,2022-08-28,4908
941,2022-08-29,1965
942,2022-08-30,6107
943,2022-08-31,5734
944,2022-09-01,4135
945,2022-09-02,5060
946,2022-09-03,4238
947,2022-09-04,4270
948,2022-09-05,1749
949,2022-09-06,5032
950,2022-09-07,5362
951,2022-09-08,3930
952,2022-09-09,3723
953,2022-09-10,2584
954,2022-09-11,1328
